,author,ticker_symbol_map_sec_type_name,org_name,ticker_symbol_map_sec_id,end_date,write_date,sec_short_name
0,张云凯,住宅开发,东北证券,000656.SZ,2018-01-31,2017-12-28,金科股份
1,李俊峰,种子,东北证券,000998.SZ,2018-01-31,2017-12-28,隆平高科
2,李瑶,种子,东北证券,000998.SZ,2018-01-31,2017-12-28,隆平高科
3,张云凯,商业地产,东北证券,001979.SZ,2018-01-31,2017-12-28,招商蛇口
4,李恒光,底盘与发动机系统,东北证券,002126.SZ,2018-01-31,2017-12-28,银轮股份
5,赵季新,底盘与发动机系统,东北证券,002126.SZ,2018-01-31,2017-12-28,银轮股份
6,刘舒畅,医疗研发外包,东北证券,300347.SZ,2018-01-31,2017-12-28,泰格医药
7,崔洁铭,医疗研发外包,东北证券,300347.SZ,2018-01-31,2017-12-28,泰格医药
8,陈鼎如,航空装备,东北证券,300424.SZ,2018-01-31,2017-12-28,航新科技
9,明兴,航空运输,东北证券,600115.SH,2018-01-31,2017-12-28,东方航空
10,瞿永忠,航空运输,东北证券,600115.SH,2018-01-31,2017-12-28,东方航空
11,张经纬,保险,东北证券,601336.SH,2018-01-31,2017-12-28,新华保险
12,葛玉翔,保险,东北证券,601336.SH,2018-01-31,2017-12-28,新华保险
13,胡文豪,国有大型银行,东北证券,601398.SH,2018-01-31,2017-12-28,工商银行
14,李强,白酒,东北证券,603369.SH,2018-01-31,2017-12-28,今世缘
15,齐欢,白酒,东北证券,603369.SH,2018-01-31,2017-12-28,今世缘
16,孙浩然,底盘与发动机系统,东兴证券,002126.SZ,2018-01-31,2018-01-02,银轮股份
17,刘慧影,军工电子,东兴证券,002179.SZ,2018-01-31,2018-01-02,中航光电
18,范垄基,调味发酵品,东兴证券,002507.SZ,2018-01-31,2018-01-02,涪陵榨菜
19,罗四维,电子化学品,东兴证券,300537.SZ,2018-01-31,2018-01-02,广信材料
20,林阳,钴,东兴证券,300618.SZ,2018-01-31,2018-01-02,寒锐钴业
21,刘慧影,模拟芯片设计,东兴证券,300661.SZ,2018-01-31,2018-01-02,圣邦股份
22,林阳,铜,东兴证券,600362.SH,2018-01-31,2018-01-02,江西铜业
23,王革,电网自动化设备,东兴证券,600406.SH,2018-01-31,2018-01-02,国电南瑞
24,罗四维,农药,东兴证券,600486.SH,2018-01-31,2018-01-02,扬农化工
25,范垄基,乳品,东兴证券,600887.SH,2018-01-31,2018-01-02,伊利股份
26,孙婷,证券,海通证券,000776.SZ,2018-01-31,2018-01-02,广发证券
27,衣桢永,定制家居,海通证券,002572.SZ,2018-01-31,2018-01-02,索菲亚
28,张宇,改性塑料,海通证券,002838.SZ,2018-01-31,2018-01-02,道恩股份
29,钟奇,影视动漫制作,海通证券,300251.SZ,2018-01-31,2018-01-02,光线传媒
30,王猛,底盘与发动机系统,海通证券,300258.SZ,2018-01-31,2018-01-02,精锻科技
31,涂力磊,住宅开发,海通证券,600048.SH,2018-01-31,2018-01-02,保利地产
32,涂力磊,住宅开发,海通证券,600466.SH,2018-01-31,2018-01-02,蓝光发展
33,邓勇,燃气,海通证券,600803.SH,2018-01-31,2018-01-02,新奥股份
34,房青,机器人,海通证券,603416.SH,2018-01-31,2018-01-02,信捷电气
35,汪立亭,超市,海通证券,603708.SH,2018-01-31,2018-01-02,家家悦
36,张一弛,其他通用设备,海通证券,603757.SH,2018-01-31,2018-01-02,大元泵业
37,梁希,非运动服装,海通证券,603839.SH,2018-01-31,2018-01-02,安正时尚
38,吴海健,住宅开发,长江证券,000002.SZ,2018-01-31,2018-01-01,万科A
39,徐春,空调,长江证券,000651.SZ,2018-01-31,2018-01-01,格力电器
40,刘慧慧,IT服务,长江证券,002530.SZ,2018-01-31,2018-01-01,金财互联
41,王鹤涛,板材,长江证券,600019.SH,2018-01-31,2018-01-01,宝钢股份
42,周晶晶,证券,长江证券,600030.SH,2018-01-31,2018-01-01,中信证券
43,蒲东君,股份制银行,长江证券,600036.SH,2018-01-31,2018-01-01,招商银行
44,赵刚,人工景区,长江证券,600138.SH,2018-01-31,2018-01-01,中青旅
45,葛军,其他小金属,长江证券,600456.SH,2018-01-31,2018-01-01,宝钛股份
46,范超,玻璃制造,长江证券,601636.SH,2018-01-31,2018-01-01,旗滨集团
47,赵智勇,轨交设备,长江证券,601766.SH,2018-01-31,2018-01-01,中国中车
48,周然,火力发电,银河证券,000600.SZ,2018-01-31,2017-12-31,建投能源
49,李平祝,其他生物制品,银河证券,000661.SZ,2018-01-31,2017-12-31,长春高新
50,鞠厚林,其他建材,银河证券,000786.SZ,2018-01-31,2017-12-31,北新建材
51,鞠厚林,军工电子,银河证券,002025.SZ,2018-01-31,2017-12-31,航天电器
