,time,code,close,open,high,low,volume
0,2015-02-09,000016.XSHG,2366.77,2319.24,2392.82,2311.8,7390338300.0
1,2015-02-10,000016.XSHG,2403.55,2363.16,2409.02,2355.14,6886203100.0
2,2015-02-11,000016.XSHG,2415.13,2408.08,2423.35,2395.2,5053898300.0
3,2015-02-12,000016.XSHG,2416.45,2415.14,2425.64,2384.49,6066235800.0
4,2015-02-13,000016.XSHG,2427.47,2426.95,2464.08,2415.43,8379347900.0
5,2015-02-16,000016.XSHG,2431.21,2427.17,2437.84,2413.6,6260811600.0
6,2015-02-17,000016.XSHG,2445.26,2437.69,2464.52,2437.69,6001057300.0
7,2015-02-25,000016.XSHG,2407.46,2448.2,2448.2,2395.53,6398738400.0
8,2015-02-26,000016.XSHG,2478.06,2401.14,2482.44,2382.69,9470706200.0
9,2015-02-27,000016.XSHG,2474.59,2476.49,2498.7,2466.83,8565192300.0
10,2015-03-02,000016.XSHG,2479.24,2495.57,2498.72,2459.42,8805251800.0
11,2015-03-03,000016.XSHG,2396.8,2462.0,2462.0,2395.83,9127474200.0
12,2015-03-04,000016.XSHG,2397.99,2403.86,2416.22,2378.93,6429528500.0
13,2015-03-05,000016.XSHG,2366.9,2379.73,2382.89,2344.95,7777330000.0
14,2015-03-06,000016.XSHG,2371.62,2370.89,2393.74,2366.02,6480420500.0
15,2015-03-09,000016.XSHG,2429.87,2352.22,2443.2,2321.26,10619571600.0
16,2015-03-10,000016.XSHG,2395.43,2413.84,2424.15,2390.6,7843558600.0
17,2015-03-11,000016.XSHG,2408.5,2401.26,2444.66,2399.54,7007419000.0
18,2015-03-12,000016.XSHG,2485.11,2444.41,2505.63,2423.43,12477820100.0
19,2015-03-13,000016.XSHG,2495.28,2494.34,2532.15,2477.4,10420594100.0
20,2015-03-16,000016.XSHG,2550.86,2512.35,2551.45,2485.29,10413208200.0
21,2015-03-17,000016.XSHG,2583.2,2576.41,2586.43,2556.47,13209205200.0
22,2015-03-18,000016.XSHG,2649.64,2595.74,2649.82,2592.26,14795882100.0
23,2015-03-19,000016.XSHG,2630.24,2649.0,2649.0,2613.76,13359586800.0
24,2015-03-20,000016.XSHG,2680.68,2642.8,2710.13,2617.07,15375499400.0
25,2015-03-23,000016.XSHG,2720.67,2700.16,2724.64,2690.48,14209193500.0
26,2015-03-24,000016.XSHG,2683.65,2719.51,2720.03,2649.62,15361757900.0
27,2015-03-25,000016.XSHG,2649.16,2674.35,2691.24,2626.66,13227039900.0
28,2015-03-26,000016.XSHG,2687.76,2637.53,2714.63,2621.45,13344292500.0
29,2015-03-27,000016.XSHG,2689.24,2693.19,2715.01,2664.86,11986937400.0
30,2015-03-30,000016.XSHG,2784.46,2716.43,2793.41,2704.8,18138365900.0
31,2015-03-31,000016.XSHG,2754.66,2826.63,2860.24,2744.93,17583371800.0
32,2015-04-01,000016.XSHG,2799.45,2758.96,2810.65,2751.37,12528132200.0
33,2015-04-02,000016.XSHG,2781.64,2821.21,2824.82,2746.3,12218473400.0
34,2015-04-03,000016.XSHG,2817.18,2771.03,2817.62,2764.35,11296925100.0
35,2015-04-07,000016.XSHG,2889.45,2854.41,2889.86,2838.89,16013944200.0
36,2015-04-08,000016.XSHG,2952.08,2907.58,2960.65,2879.97,17985383700.0
37,2015-04-09,000016.XSHG,2931.77,2973.81,3021.85,2914.7,17676448300.0
38,2015-04-10,000016.XSHG,2986.61,2925.93,2992.41,2911.46,14121595800.0
39,2015-04-13,000016.XSHG,3041.13,3040.01,3059.78,3016.97,16933958300.0
40,2015-04-14,000016.XSHG,3052.41,3057.41,3074.67,3013.31,16230036200.0
41,2015-04-15,000016.XSHG,3053.3,3054.02,3119.48,3039.26,17902592900.0
42,2015-04-16,000016.XSHG,3183.3,3045.85,3183.58,3033.25,17196755400.0
43,2015-04-17,000016.XSHG,3235.33,3251.98,3271.57,3216.21,20765993400.0
44,2015-04-20,000016.XSHG,3164.46,3267.85,3296.18,3146.84,26597612700.0
45,2015-04-21,000016.XSHG,3214.36,3163.29,3214.89,3135.22,18442769200.0
46,2015-04-22,000016.XSHG,3299.22,3219.7,3300.84,3204.44,20173807100.0
47,2015-04-23,000016.XSHG,3273.4,3311.07,3313.81,3245.76,17713793100.0
48,2015-04-24,000016.XSHG,3223.96,3226.38,3250.23,3161.97,18513593600.0
49,2015-04-27,000016.XSHG,3308.45,3257.97,3313.25,3257.97,20026697500.0
50,2015-04-28,000016.XSHG,3282.33,3309.53,3370.03,3255.77,26604285900.0
51,2015-04-29,000016.XSHG,3283.28,3268.52,3304.71,3243.54,14666628500.0
52,2015-04-30,000016.XSHG,3250.49,3290.58,3309.42,3249.25,14628827900.0
53,2015-05-04,000016.XSHG,3272.01,3250.13,3273.15,3204.31,13327095300.0
54,2015-05-05,000016.XSHG,3148.81,3266.81,3270.96,3132.94,17060778100.0
55,2015-05-06,000016.XSHG,3139.02,3175.89,3244.6,3110.11,14799113800.0
56,2015-05-07,000016.XSHG,3094.88,3116.79,3142.14,3093.73,10944092900.0
57,2015-05-08,000016.XSHG,3110.45,3126.0,3138.66,3045.01,10327816500.0
58,2015-05-11,000016.XSHG,3169.13,3112.24,3169.87,3075.2,13376665900.0
59,2015-05-12,000016.XSHG,3188.31,3162.67,3200.18,3136.46,13081305400.0
60,2015-05-13,000016.XSHG,3141.3,3188.06,3188.96,3122.34,11730550400.0
61,2015-05-14,000016.XSHG,3128.57,3136.13,3153.75,3107.68,10533870600.0
62,2015-05-15,000016.XSHG,3060.41,3122.89,3124.61,3044.85,10999319500.0
63,2015-05-18,000016.XSHG,2998.39,3032.71,3045.59,2997.13,8704172400.0
64,2015-05-19,000016.XSHG,3116.09,2996.84,3127.0,2996.72,11120662700.0
65,2015-05-20,000016.XSHG,3122.85,3127.57,3181.54,3105.63,12455733200.0
66,2015-05-21,000016.XSHG,3150.9,3132.34,3156.49,3111.0,9475578400.0
67,2015-05-22,000016.XSHG,3248.86,3180.39,3249.52,3170.45,15002110400.0
68,2015-05-25,000016.XSHG,3349.95,3263.96,3350.52,3263.96,15858571000.0
69,2015-05-26,000016.XSHG,3386.59,3382.76,3390.29,3320.15,14789468400.0
70,2015-05-27,000016.XSHG,3344.74,3390.98,3404.76,3327.24,14747053900.0
71,2015-05-28,000016.XSHG,3124.62,3336.7,3350.22,3120.97,17825520600.0
72,2015-05-29,000016.XSHG,3111.33,3127.64,3161.58,3036.96,13378440400.0
73,2015-06-01,000016.XSHG,3244.32,3114.79,3250.61,3082.16,14102337300.0
74,2015-06-02,000016.XSHG,3258.31,3240.8,3269.22,3201.22,13480053300.0
75,2015-06-03,000016.XSHG,3238.43,3251.91,3259.71,3193.54,12830697700.0
76,2015-06-04,000016.XSHG,3299.03,3244.46,3316.5,3113.22,18456793900.0
77,2015-06-05,000016.XSHG,3303.99,3349.57,3365.59,3234.25,18814564800.0
78,2015-06-08,000016.XSHG,3458.71,3333.83,3469.22,3308.3,24825404200.0
79,2015-06-09,000016.XSHG,3414.0,3494.82,3494.82,3376.02,22044856100.0
80,2015-06-10,000016.XSHG,3370.38,3362.81,3415.28,3338.68,15529469100.0
81,2015-06-11,000016.XSHG,3347.12,3369.0,3383.49,3313.59,13807384800.0
82,2015-06-12,000016.XSHG,3350.25,3364.44,3374.82,3319.2,14526225500.0
83,2015-06-15,000016.XSHG,3262.48,3359.71,3366.84,3254.62,16732255900.0
84,2015-06-16,000016.XSHG,3179.65,3233.15,3275.47,3149.08,15596989800.0
85,2015-06-17,000016.XSHG,3211.71,3198.14,3222.44,3144.49,15957156300.0
86,2015-06-18,000016.XSHG,3068.49,3183.23,3183.23,3067.49,13734504200.0
87,2015-06-19,000016.XSHG,2903.06,3030.22,3067.82,2900.79,13178392400.0
88,2015-06-23,000016.XSHG,3003.16,2907.07,3007.63,2822.47,13561764400.0
89,2015-06-24,000016.XSHG,3045.24,3009.77,3052.11,2962.65,14158588200.0
90,2015-06-25,000016.XSHG,2943.99,3069.4,3082.56,2929.11,16015830700.0
91,2015-06-26,000016.XSHG,2736.7,2875.12,2953.96,2678.77,18335580400.0
92,2015-06-29,000016.XSHG,2678.37,2802.77,2822.11,2530.83,21201871400.0
93,2015-06-30,000016.XSHG,2870.03,2678.63,2872.51,2628.0,21959229800.0
94,2015-07-01,000016.XSHG,2736.85,2823.94,2872.91,2721.48,16995770200.0
95,2015-07-02,000016.XSHG,2714.25,2767.99,2805.67,2611.86,20904575400.0
96,2015-07-03,000016.XSHG,2582.27,2674.56,2738.66,2511.16,18436191800.0
97,2015-07-06,000016.XSHG,2750.0,2807.75,2807.75,2649.56,34483427900.0
98,2015-07-07,000016.XSHG,2812.45,2682.5,2825.49,2612.11,35031479800.0
99,2015-07-08,000016.XSHG,2608.98,2596.71,2760.52,2546.46,37745940000.0
100,2015-07-09,000016.XSHG,2781.08,2575.34,2828.75,2493.64,27117677000.0
101,2015-07-10,000016.XSHG,2898.41,2749.12,2997.6,2717.71,29625184200.0
102,2015-07-13,000016.XSHG,2869.05,2855.7,2949.2,2805.91,23334105500.0
103,2015-07-14,000016.XSHG,2763.07,2821.97,2843.25,2717.03,19436842400.0
104,2015-07-15,000016.XSHG,2757.95,2725.92,2779.95,2665.95,18594802800.0
105,2015-07-16,000016.XSHG,2742.85,2754.83,2780.0,2708.72,13524616300.0
106,2015-07-17,000016.XSHG,2807.07,2756.87,2834.18,2723.74,13024111200.0
107,2015-07-20,000016.XSHG,2783.76,2798.56,2815.7,2766.94,13086249500.0
108,2015-07-21,000016.XSHG,2772.77,2757.66,2799.82,2743.16,11582657800.0
109,2015-07-22,000016.XSHG,2739.79,2757.28,2771.0,2721.35,10665453000.0
110,2015-07-23,000016.XSHG,2790.76,2741.42,2796.37,2736.38,11358203900.0
111,2015-07-24,000016.XSHG,2741.04,2794.05,2807.62,2735.3,12392890800.0
112,2015-07-27,000016.XSHG,2493.29,2698.8,2715.36,2491.12,13664510400.0
113,2015-07-28,000016.XSHG,2485.67,2427.03,2531.23,2400.87,14033885500.0
114,2015-07-29,000016.XSHG,2531.45,2496.89,2535.6,2459.08,9307815400.0
115,2015-07-30,000016.XSHG,2467.37,2525.08,2548.27,2459.92,8694982700.0
116,2015-07-31,000016.XSHG,2461.24,2452.05,2490.66,2432.49,7472537400.0
117,2015-08-03,000016.XSHG,2479.72,2433.24,2479.95,2419.85,8807341000.0
118,2015-08-04,000016.XSHG,2534.71,2476.16,2535.28,2462.73,6603231700.0
119,2015-08-05,000016.XSHG,2487.06,2529.13,2537.35,2485.6,6288967000.0
120,2015-08-06,000016.XSHG,2467.53,2452.53,2505.53,2446.96,4780004700.0
121,2015-08-07,000016.XSHG,2503.8,2489.8,2520.04,2479.25,5756323900.0
122,2015-08-10,000016.XSHG,2617.66,2527.62,2626.36,2517.95,10962661300.0
123,2015-08-11,000016.XSHG,2590.71,2612.95,2623.84,2578.65,9958425600.0
124,2015-08-12,000016.XSHG,2561.13,2562.68,2598.51,2557.26,7535253000.0
125,2015-08-13,000016.XSHG,2580.78,2562.87,2585.92,2522.35,7008074200.0
126,2015-08-14,000016.XSHG,2577.04,2588.43,2592.17,2565.59,7294157200.0
127,2015-08-17,000016.XSHG,2550.47,2560.37,2561.96,2524.13,7113381900.0
128,2015-08-18,000016.XSHG,2407.97,2554.08,2572.21,2405.83,10124871300.0
129,2015-08-19,000016.XSHG,2430.28,2379.21,2431.61,2326.24,9048531900.0
130,2015-08-20,000016.XSHG,2356.92,2406.57,2421.03,2356.33,6834685300.0
131,2015-08-21,000016.XSHG,2271.36,2336.45,2362.84,2261.31,7846755300.0
132,2015-08-24,000016.XSHG,2058.25,2195.46,2203.63,2046.85,11542038300.0
133,2015-08-25,000016.XSHG,1914.05,1947.14,2044.56,1890.38,11856957700.0
134,2015-08-26,000016.XSHG,1942.45,1930.2,2028.4,1874.22,12411179600.0
135,2015-08-27,000016.XSHG,2094.72,1989.59,2095.46,1957.74,11658547000.0
136,2015-08-28,000016.XSHG,2159.96,2120.36,2167.9,2097.78,11529986000.0
137,2015-08-31,000016.XSHG,2210.45,2135.6,2214.11,2071.41,11719305200.0
138,2015-09-01,000016.XSHG,2230.32,2155.96,2239.46,2103.48,15831034400.0
139,2015-09-02,000016.XSHG,2243.63,2143.24,2248.77,2137.19,16606144800.0
140,2015-09-07,000016.XSHG,2133.98,2215.18,2247.44,2127.48,8567205700.0
141,2015-09-08,000016.XSHG,2180.13,2115.9,2185.4,2084.03,6198041400.0
142,2015-09-09,000016.XSHG,2211.2,2186.37,2225.27,2175.77,7696297300.0
143,2015-09-10,000016.XSHG,2208.48,2183.61,2218.14,2175.37,5303531900.0
144,2015-09-11,000016.XSHG,2195.39,2199.59,2218.82,2180.24,3622196900.0
145,2015-09-14,000016.XSHG,2228.15,2205.7,2228.96,2126.29,8478535800.0
