,1M,1W,1Y,2W,3M,6M,9M,O/N
2015-02-09,5.025,4.335,4.779,4.8069999999999995,4.904,4.7796,4.7538,2.812
2015-02-10,5.031000000000001,4.321000000000001,4.779,4.761,4.899,4.7791,4.7494,2.852
2015-02-11,5.044,4.42,4.78,4.791,4.9,4.7765,4.7482,2.932
2015-02-12,5.055,4.602,4.7834,4.784,4.901,4.7780000000000005,4.7491,3.0580000000000003
2015-02-13,5.064,4.663,4.7855,4.775,4.9,4.7803,4.7512,3.091
2015-02-15,5.067,4.72,4.7876,4.7860000000000005,4.9,4.7803,4.7513,3.175
2015-02-16,5.077,4.7,4.7888,4.781000000000001,4.9,4.7821,4.7512,3.182
2015-02-17,5.0760000000000005,4.749,4.7868,4.859,4.9,4.7853,4.7512,3.4
2015-02-25,5.08,4.768,4.7886,4.814,4.9,4.7856,4.7512,3.3280000000000003
2015-02-26,5.0828,4.717,4.7878,4.816,4.9,4.7846,4.7512,3.298
2015-02-27,5.0832,4.715,4.7888,4.873,4.9,4.7846,4.7512,3.318
2015-02-28,5.0833,4.772,4.7879,4.896,4.9,4.7825,4.7512,3.4410000000000003
2015-03-02,5.069,4.748,4.7829,4.862,4.898,4.7795,4.7502,3.4530000000000003
2015-03-03,5.067,4.747,4.7805,4.878,4.8979,4.7801,4.7491,3.45
2015-03-04,5.066,4.717,4.7812,4.868,4.8959,4.7791,4.751,3.446
2015-03-05,5.064,4.729,4.7802,4.861000000000001,4.896,4.78,4.7531,3.4330000000000003
2015-03-06,5.06,4.739,4.7821,4.8685,4.8978,4.7791,4.7535,3.4160000000000004
2015-03-09,5.058,4.773,4.7803,4.871,4.8979,4.7781,4.7515,3.3810000000000002
2015-03-10,5.055,4.763,4.7801,4.836,4.8988,4.7789,4.7483,3.35
2015-03-11,5.0518,4.773,4.7801,4.814,4.9,4.7799,4.749,3.347
2015-03-12,5.0511,4.7511,4.7801,4.7989,4.9,4.78,4.75,3.4644
2015-03-13,5.052,4.738,4.78,4.773,4.9,4.7801,4.75,3.4360000000000004
2015-03-16,5.045,4.708,4.7801,4.753,4.905,4.7811,4.752,3.403
2015-03-17,5.04,4.62,4.7801,4.692,4.905,4.7812,4.7525,3.3760000000000003
2015-03-18,5.035,4.602,4.7801,4.666,4.906000000000001,4.7802,4.75,3.3689999999999998
2015-03-19,5.034,4.496,4.7801,4.607,4.904,4.7812,4.7505,3.332
2015-03-20,5.031000000000001,4.331,4.78,4.495,4.902,4.7802,4.7505,3.2939999999999996
2015-03-23,5.029,4.143,4.78,4.362,4.899,4.78,4.75,3.217
2015-03-24,5.02,4.033,4.78,4.329,4.898,4.779,4.749,3.218
2015-03-25,5.018,3.955,4.7801,4.294,4.8975,4.7796,4.7507,3.21
