,close
2015-02-09,2366.77
2015-02-10,2403.55
2015-02-11,2415.13
2015-02-12,2416.45
2015-02-13,2427.47
2015-02-16,2431.21
2015-02-17,2445.26
2015-02-25,2407.46
2015-02-26,2478.06
2015-02-27,2474.59
2015-03-02,2479.24
2015-03-03,2396.8
2015-03-04,2397.99
2015-03-05,2366.9
2015-03-06,2371.62
2015-03-09,2429.87
2015-03-10,2395.43
2015-03-11,2408.5
2015-03-12,2485.11
2015-03-13,2495.28
2015-03-16,2550.86
2015-03-17,2583.2
2015-03-18,2649.64
2015-03-19,2630.24
2015-03-20,2680.68
2015-03-23,2720.67
2015-03-24,2683.65
2015-03-25,2649.16
2015-03-26,2687.76
2015-03-27,2689.24
2015-03-30,2784.46
2015-03-31,2754.66
2015-04-01,2799.45
2015-04-02,2781.64
2015-04-03,2817.18
2015-04-07,2889.45
2015-04-08,2952.08
2015-04-09,2931.77
2015-04-10,2986.61
2015-04-13,3041.13
2015-04-14,3052.41
2015-04-15,3053.3
2015-04-16,3183.3
2015-04-17,3235.33
2015-04-20,3164.46
2015-04-21,3214.36
2015-04-22,3299.22
2015-04-23,3273.4
2015-04-24,3223.96
2015-04-27,3308.45
2015-04-28,3282.33
2015-04-29,3283.28
2015-04-30,3250.49
2015-05-04,3272.01
2015-05-05,3148.81
2015-05-06,3139.02
2015-05-07,3094.88
2015-05-08,3110.45
2015-05-11,3169.13
2015-05-12,3188.31
2015-05-13,3141.3
2015-05-14,3128.57
2015-05-15,3060.41
2015-05-18,2998.39
2015-05-19,3116.09
2015-05-20,3122.85
2015-05-21,3150.9
2015-05-22,3248.86
2015-05-25,3349.95
2015-05-26,3386.59
2015-05-27,3344.74
2015-05-28,3124.62
2015-05-29,3111.33
2015-06-01,3244.32
2015-06-02,3258.31
2015-06-03,3238.43
2015-06-04,3299.03
2015-06-05,3303.99
2015-06-08,3458.71
2015-06-09,3414.0
2015-06-10,3370.38
2015-06-11,3347.12
2015-06-12,3350.25
2015-06-15,3262.48
2015-06-16,3179.65
2015-06-17,3211.71
2015-06-18,3068.49
2015-06-19,2903.06
2015-06-23,3003.16
2015-06-24,3045.24
2015-06-25,2943.99
2015-06-26,2736.7
2015-06-29,2678.37
2015-06-30,2870.03
2015-07-01,2736.85
2015-07-02,2714.25
2015-07-03,2582.27
2015-07-06,2750.0
2015-07-07,2812.45
2015-07-08,2608.98
2015-07-09,2781.08
2015-07-10,2898.41
2015-07-13,2869.05
2015-07-14,2763.07
2015-07-15,2757.95
2015-07-16,2742.85
2015-07-17,2807.07
2015-07-20,2783.76
2015-07-21,2772.77
2015-07-22,2739.79
2015-07-23,2790.76
2015-07-24,2741.04
2015-07-27,2493.29
2015-07-28,2485.67
2015-07-29,2531.45
2015-07-30,2467.37
2015-07-31,2461.24
2015-08-03,2479.72
2015-08-04,2534.71
2015-08-05,2487.06
2015-08-06,2467.53
2015-08-07,2503.8
2015-08-10,2617.66
2015-08-11,2590.71
2015-08-12,2561.13
2015-08-13,2580.78
2015-08-14,2577.04
2015-08-17,2550.47
2015-08-18,2407.97
2015-08-19,2430.28
2015-08-20,2356.92
2015-08-21,2271.36
2015-08-24,2058.25
2015-08-25,1914.05
2015-08-26,1942.45
2015-08-27,2094.72
2015-08-28,2159.96
2015-08-31,2210.45
2015-09-01,2230.32
2015-09-02,2243.63
2015-09-07,2133.98
2015-09-08,2180.13
2015-09-09,2211.2
2015-09-10,2208.48
2015-09-11,2195.39
2015-09-14,2228.15
2015-09-15,2175.17
2015-09-16,2241.95
2015-09-17,2194.82
2015-09-18,2198.99
2015-09-21,2214.45
2015-09-22,2237.31
2015-09-23,2178.55
2015-09-24,2188.09
2015-09-25,2183.4
2015-09-28,2169.94
2015-09-29,2127.2
2015-09-30,2146.12
2015-10-08,2191.34
2015-10-09,2219.29
2015-10-12,2283.43
2015-10-13,2270.95
2015-10-14,2253.91
2015-10-15,2297.9
2015-10-16,2323.78
2015-10-19,2318.47
2015-10-20,2337.08
2015-10-21,2340.36
2015-10-22,2331.79
2015-10-23,2343.97
2015-10-26,2350.02
2015-10-27,2349.9
2015-10-28,2310.7
2015-10-29,2307.34
2015-10-30,2312.97
2015-11-02,2280.09
2015-11-03,2271.65
2015-11-04,2370.5
2015-11-05,2440.65
2015-11-06,2493.48
2015-11-09,2534.08
2015-11-10,2522.68
2015-11-11,2505.83
2015-11-12,2476.43
2015-11-13,2447.77
2015-11-16,2447.29
2015-11-17,2453.26
2015-11-18,2439.45
2015-11-19,2468.49
2015-11-20,2466.76
2015-11-23,2456.84
2015-11-24,2447.9
2015-11-25,2459.56
2015-11-26,2450.96
2015-11-27,2334.44
2015-11-30,2336.29
2015-12-01,2344.83
2015-12-02,2458.41
2015-12-03,2461.45
2015-12-04,2397.56
2015-12-07,2395.58
2015-12-08,2364.34
2015-12-09,2369.74
2015-12-10,2357.21
2015-12-11,2342.45
2015-12-14,2414.92
2015-12-15,2383.83
2015-12-16,2376.53
2015-12-17,2408.32
2015-12-18,2422.84
2015-12-21,2500.06
2015-12-22,2496.05
2015-12-23,2503.06
2015-12-24,2481.75
2015-12-25,2492.34
2015-12-28,2411.41
2015-12-29,2432.88
2015-12-30,2432.77
2015-12-31,2420.8
2016-01-04,2270.46
2016-01-05,2288.11
2016-01-06,2317.65
2016-01-07,2180.59
2016-01-08,2219.61
2016-01-11,2120.23
2016-01-12,2131.37
2016-01-13,2105.51
2016-01-14,2132.08
2016-01-15,2070.93
2016-01-18,2069.27
2016-01-19,2128.57
2016-01-20,2088.72
2016-01-21,2040.98
2016-01-22,2061.96
2016-01-25,2065.44
2016-01-26,1951.61
2016-01-27,1953.46
2016-01-28,1912.72
2016-01-29,1973.01
2016-02-01,1937.07
2016-02-02,1969.62
2016-02-03,1952.37
2016-02-04,1974.24
2016-02-05,1967.26
2016-02-15,1948.28
2016-02-16,2000.9
2016-02-17,2014.44
2016-02-18,2009.27
2016-02-19,2004.11
2016-02-22,2053.86
2016-02-23,2029.52
2016-02-24,2041.39
2016-02-25,1932.6
2016-02-26,1955.4
2016-02-29,1944.61
2016-03-01,1973.19
2016-03-02,2043.41
2016-03-03,2053.27
2016-03-04,2122.27
2016-03-07,2107.67
2016-03-08,2115.16
2016-03-09,2111.92
2016-03-10,2061.45
2016-03-11,2070.72
2016-03-14,2078.41
2016-03-15,2101.12
2016-03-16,2136.13
2016-03-17,2131.48
2016-03-18,2141.18
2016-03-21,2193.39
2016-03-22,2173.26
2016-03-23,2175.28
2016-03-24,2137.59
2016-03-25,2149.2
2016-03-28,2123.03
2016-03-29,2106.86
2016-03-30,2157.53
2016-03-31,2156.54
2016-04-01,2167.78
2016-04-05,2180.26
2016-04-06,2168.04
2016-04-07,2139.4
2016-04-08,2123.8
2016-04-11,2148.44
2016-04-12,2143.9
2016-04-13,2171.32
2016-04-14,2178.87
2016-04-15,2182.07
2016-04-18,2158.23
2016-04-19,2163.61
2016-04-20,2154.89
2016-04-21,2147.72
2016-04-22,2157.72
2016-04-25,2148.28
2016-04-26,2155.79
2016-04-27,2145.38
2016-04-28,2142.06
2016-04-29,2135.51
2016-05-03,2158.27
2016-05-04,2152.93
2016-05-05,2152.88
2016-05-06,2107.01
2016-05-09,2072.47
2016-05-10,2072.38
2016-05-11,2078.41
2016-05-12,2084.84
2016-05-13,2076.19
2016-05-16,2082.62
2016-05-17,2075.47
2016-05-18,2078.76
2016-05-19,2073.8
2016-05-20,2083.12
2016-05-23,2082.41
2016-05-24,2066.64
2016-05-25,2071.91
2016-05-26,2076.14
2016-05-27,2074.92
2016-05-30,2092.16
2016-05-31,2155.66
2016-06-01,2138.96
2016-06-02,2137.65
2016-06-03,2152.64
2016-06-06,2136.32
2016-06-07,2139.07
2016-06-08,2132.96
2016-06-13,2084.3
2016-06-14,2095.02
2016-06-15,2106.63
2016-06-16,2094.81
2016-06-17,2102.2
2016-06-20,2104.22
2016-06-21,2104.56
2016-06-22,2115.77
2016-06-23,2105.53
2016-06-24,2076.3
2016-06-27,2095.89
2016-06-28,2102.05
2016-06-29,2122.97
2016-06-30,2122.63
2016-07-01,2127.09
2016-07-04,2163.29
2016-07-05,2168.86
2016-07-06,2167.1
2016-07-07,2166.88
2016-07-08,2148.76
2016-07-11,2155.72
2016-07-12,2200.35
2016-07-13,2197.79
2016-07-14,2195.23
2016-07-15,2192.39
2016-07-18,2187.98
2016-07-19,2175.4
2016-07-20,2167.12
2016-07-21,2177.78
2016-07-22,2157.23
2016-07-25,2159.55
2016-07-26,2182.51
2016-07-27,2173.97
2016-07-28,2163.81
2016-07-29,2155.24
2016-08-01,2147.56
2016-08-02,2148.45
2016-08-03,2145.79
2016-08-04,2143.84
2016-08-05,2148.68
2016-08-08,2159.67
2016-08-09,2175.34
2016-08-10,2170.1
2016-08-11,2177.06
2016-08-12,2222.49
2016-08-15,2287.66
2016-08-16,2257.7
2016-08-17,2253.74
2016-08-18,2244.72
2016-08-19,2249.34
2016-08-22,2237.13
2016-08-23,2241.95
2016-08-24,2232.21
2016-08-25,2222.15
2016-08-26,2219.31
2016-08-29,2214.26
2016-08-30,2224.06
2016-08-31,2232.71
2016-09-01,2220.4
2016-09-02,2229.89
2016-09-05,2228.72
2016-09-06,2232.45
2016-09-07,2236.55
2016-09-08,2236.63
2016-09-09,2229.31
2016-09-12,2199.98
2016-09-13,2193.19
2016-09-14,2176.52
2016-09-19,2189.46
2016-09-20,2184.21
2016-09-21,2187.15
2016-09-22,2200.7
2016-09-23,2196.29
2016-09-26,2167.26
2016-09-27,2176.45
2016-09-28,2166.72
2016-09-29,2175.37
2016-09-30,2177.35
2016-10-10,2202.87
2016-10-11,2209.23
2016-10-12,2201.0
2016-10-13,2202.12
2016-10-14,2209.81
2016-10-17,2192.88
2016-10-18,2222.78
2016-10-19,2221.53
2016-10-20,2223.42
2016-10-21,2240.75
