,O/N,1W,2W,1M,3M,6M,9M,1Y,,,
2006/10/8,2.1184,2.293,2.3848,2.5319,2.611,2.7404,2.8521,2.9543,,,
2006/10/9,2.099,2.296,2.3972,2.5522,2.6248,2.7431,2.8514,2.9549,,,
2006/10/10,2.0922,2.2971,2.4236,2.5739,2.6325,2.7454,2.8544,2.9531,,,
2006/10/11,2.0955,2.2932,2.493,2.5864,2.6338,2.7475,2.8547,2.9559,,,
2006/10/12,2.0943,2.2904,2.524,2.59,2.638,2.747,2.857,2.955,,,
2006/10/13,2.0889,2.2919,2.5571,2.6045,2.642,2.7465,2.8572,2.9543,,,
2006/10/16,2.0801,2.3144,2.5553,2.6105,2.6459,2.7482,2.8566,2.9546,,,
2006/10/17,2.0746,2.379,2.5491,2.6132,2.6484,2.7486,2.857,2.955,,,
2006/10/18,2.0723,2.4628,2.5549,2.6159,2.6483,2.7488,2.8567,2.956,,,
2006/10/19,2.0667,2.4922,2.558,2.6163,2.6483,2.7485,2.8565,2.9556,,,
2006/10/20,2.0665,2.4901,2.5574,2.6167,2.6482,2.7485,2.8563,2.9553,,,
2006/10/23,2.0573,2.4775,2.5528,2.6166,2.648,2.7483,2.8561,2.9552,,,
2006/10/24,2.0569,2.4782,2.5492,2.6165,2.6481,2.7483,2.8561,2.9552,,,
2006/10/25,2.0592,2.4322,2.5484,2.6163,2.648,2.7483,2.8561,2.9552,,,
2006/10/26,2.117,2.3887,2.546,2.6164,2.6479,2.7483,2.8561,2.9552,,,
2006/10/27,2.1568,2.3696,2.5439,2.6168,2.6479,2.7483,2.8561,2.9556,,,
2006/10/30,2.16,2.3931,2.546,2.6167,2.6479,2.7483,2.8561,2.9554,,,
2006/10/31,2.1885,2.4514,2.5537,2.6167,2.6479,2.7483,2.8562,2.9554,,,
2006/11/1,2.2023,2.4803,2.5608,2.6169,2.6479,2.749,2.8562,2.9554,,,
2006/11/2,2.2057,2.488,2.5664,2.6169,2.6479,2.7487,2.8562,2.9554,,,
2006/11/3,2.2055,2.4527,2.5894,2.6175,2.6479,2.7486,2.8562,2.9554,,,
2006/11/6,2.2312,2.5751,2.6291,2.6383,2.6557,2.7528,2.859,2.9566,,,
2006/11/7,2.3023,2.6931,2.7679,2.7035,2.683,2.7641,2.863,2.9577,,,
2006/11/8,2.4264,2.8443,2.8294,2.7755,2.7082,2.7677,2.8663,2.9597,,,
2006/11/9,2.5177,2.9405,3.0879,2.9507,2.7236,2.7775,2.8698,2.9622,,,
2006/11/10,2.6198,3.1975,3.1982,3.0836,2.7401,2.7889,2.8729,2.9652,,,
2006/11/13,2.8071,3.2409,3.3457,3.1794,2.7551,2.799,2.8775,2.9702,,,
2006/11/14,3.6074,3.6395,3.7804,3.2335,2.7707,2.8087,2.8849,2.9772,,,
2006/11/15,3.5355,3.6929,3.749,3.2342,2.775,2.8165,2.8896,2.9809,,,
2006/11/16,3.2292,3.5343,3.72,3.2601,2.7764,2.8207,2.8931,2.9831,,,
2006/11/17,3.1918,3.8258,3.7328,3.2583,2.7774,2.8255,2.8964,2.9848,,,
2006/11/20,3.2645,3.9409,4.0497,3.3086,2.7825,2.831,2.9001,2.986,,,
2006/11/21,3.4289,4.0016,4.0522,3.3874,2.7895,2.8359,2.9075,2.9912,,,
2006/11/22,3.5158,3.7091,4.0117,3.4155,2.7916,2.8374,2.9087,2.9939,,,
2006/11/23,3.5399,3.7165,4.0073,3.3651,2.7952,2.8398,2.9103,2.9955,,,
2006/11/24,3.5101,3.8861,3.9905,3.314,2.8028,2.8462,2.9133,2.9968,,,
2006/11/27,3.205,3.1747,3.4465,3.2448,2.8018,2.8463,2.9162,2.9976,,,
2006/11/28,2.7744,3.0728,3.3186,3.1356,2.8023,2.8467,2.9187,2.9984,,,
2006/11/29,2.5547,2.5137,2.8842,3.1259,2.8038,2.8473,2.9199,2.9992,,,
2006/11/30,2.4161,2.427,2.7487,3.0847,2.8054,2.8484,2.9211,2.9996,,,
2006/12/1,2.337,2.3851,2.6359,3.016,2.8086,2.8495,2.9212,2.9998,,,
2006/12/4,2.1803,2.3543,2.6519,2.838,2.809,2.8516,2.9228,3.0001,,,
2006/12/5,2.1095,2.3165,2.5252,2.754,2.8096,2.8535,2.9239,3.0006,,,
2006/12/6,2.064,2.2959,2.4674,2.7291,2.8093,2.8545,2.9247,3.0008,,,
2006/12/7,2.0063,2.2643,2.4007,2.7141,2.8094,2.8563,2.9259,3.0008,,,
2006/12/8,1.9919,2.2463,2.3882,2.6656,2.8096,2.8579,2.9266,3.001,,,
2006/12/11,1.9914,2.2424,2.367,2.627,2.8089,2.8598,2.9276,3.0012,,,
2006/12/12,1.9181,2.2101,2.361,2.59,2.808,2.8604,2.9282,3.0013,,,
2006/12/13,1.8931,2.2283,2.3618,2.5809,2.808,2.8609,2.9286,3.0013,,,
2006/12/14,1.8589,2.0627,2.3464,2.5723,2.8079,2.8612,2.9289,3.0014,,,
2006/12/15,1.7777,2.0486,2.3373,2.5767,2.8073,2.8615,2.9291,3.0015,,,
2006/12/18,1.7247,2.0248,2.3123,2.5717,2.8076,2.8625,2.9294,3.0016,,,
2006/12/19,1.6566,2.0222,2.3256,2.5699,2.8072,2.8644,2.9297,3.0017,,,
2006/12/20,1.613,1.9789,2.404,2.5696,2.8066,2.8658,2.9298,3.0017,,,
2006/12/21,1.6015,1.9016,2.3583,2.5703,2.8069,2.8669,2.9299,3.0018,,,
2006/12/22,1.6311,2.052,2.33,2.573,2.807,2.8674,2.9299,3.0019,,,
2006/12/25,1.6123,2.2896,2.4003,2.5712,2.8072,2.8674,2.93,3.0019,,,
2006/12/26,1.6431,2.2841,2.4846,2.5672,2.8073,2.8678,2.93,3.002,,,
2006/12/27,1.7185,2.2785,2.4817,2.5802,2.8076,2.868,2.93,3.002,,,
2006/12/28,1.7107,2.0753,2.3773,2.5832,2.8079,2.8681,2.9301,3.002,,,
2006/12/29,1.7203,1.9641,2.2236,2.5852,2.808,2.8682,2.9301,3.002,,,
2006/12/30,1.5651,1.9182,2.0744,2.5848,2.8081,2.8683,2.9301,3.0021,,,
2006/12/31,1.5675,1.6321,1.9753,2.5833,2.8082,2.8685,2.9301,3.0021,,,
2007/1/4,1.431,1.5238,2.1667,2.5774,2.8077,2.8685,2.9306,3.0022,,,
2007/1/5,1.4047,1.5057,2.0492,2.5717,2.8079,2.8686,2.9305,3.0023,,,
2007/1/8,1.3721,1.4524,2.0303,2.5588,2.808,2.8687,2.9306,3.0023,,,
2007/1/9,1.3546,1.4405,1.9781,2.5572,2.8083,2.8687,2.9307,3.0024,,,
2007/1/10,1.3519,1.4262,1.9312,2.5463,2.8082,2.8688,2.9308,3.0025,,,
2007/1/11,1.3344,1.4122,1.9018,2.5343,2.8081,2.8688,2.9308,3.0024,,,
2007/1/12,1.3051,1.4047,1.7784,2.5254,2.8079,2.8688,2.9308,3.0024,,,
2007/1/15,1.2997,1.38,1.75,2.5207,2.8078,2.8689,2.9309,3.0024,,,
2007/1/16,1.2809,1.3733,1.6668,2.5168,2.8079,2.8689,2.9309,3.0024,,,
2007/1/17,1.3171,1.4986,1.7732,2.5167,2.8079,2.8689,2.9311,3.0024,,,
2007/1/18,1.4236,1.5048,1.9936,2.5171,2.808,2.869,2.9312,3.0024,,,
2007/1/19,1.4126,1.5485,2.0611,2.5173,2.808,2.8691,2.9313,3.0024,,,
2007/1/22,1.4197,1.7726,2.1157,2.518,2.8081,2.8692,2.9314,3.0024,,,
2007/1/23,1.5972,1.9648,2.1402,2.518,2.8081,2.8692,2.9314,3.0024,,,
2007/1/24,1.7079,2.0061,2.1699,2.5184,2.8082,2.8693,2.9315,3.0024,,,
2007/1/25,1.7541,2.0159,2.1822,2.5185,2.8082,2.8694,2.9316,3.0025,,,
2007/1/26,1.7889,2.0703,2.2009,2.5186,2.8082,2.8694,2.9317,3.0025,,,
2007/1/29,1.783,2.103,2.1963,2.5194,2.8082,2.8695,2.9317,3.0025,,,
2007/1/30,1.7838,2.1022,2.1839,2.5195,2.8083,2.8696,2.9318,3.0025,,,
2007/1/31,1.778,2.0919,2.1695,2.5196,2.8083,2.8696,2.9319,3.0025,,,
2007/2/1,1.7602,2.0817,2.2498,2.5236,2.8083,2.8697,2.9319,3.0025,,,
2007/2/2,1.7549,1.9916,2.3341,2.5286,2.8083,2.8697,2.9319,3.0025,,,
2007/2/5,1.7593,2.0718,2.6225,2.6652,2.8084,2.8697,2.932,3.0025,,,
2007/2/6,1.7848,2.1745,2.991,2.8405,2.8085,2.8698,2.932,3.0025,,,
2007/2/7,1.8392,2.5376,3.3343,3.0862,2.8153,2.8698,2.9321,3.0025,,,
2007/2/8,1.8983,3.5244,3.5213,3.266,2.8204,2.8699,2.9321,3.0025,,,
2007/2/9,2.7851,4.1485,3.8789,3.6175,2.8433,2.87,2.9322,3.0025,,,
2007/2/12,4.0016,4.4692,4.341,4.0491,2.8757,2.8703,2.9324,3.0026,,,
2007/2/13,3.3685,3.4622,3.8034,4.0089,2.8745,2.8719,2.9325,3.0026,,,
2007/2/14,4.0174,3.9964,3.8709,3.9566,2.8772,2.8719,2.9326,3.0027,,,
2007/2/15,3.0934,3.4817,3.1495,3.162,2.8792,2.8721,2.9326,3.0027,,,
2007/2/16,1.994,2.1513,2.0668,2.8076,2.8727,2.8727,2.9326,3.0027,,,
2007/2/17,1.5143,1.5133,1.8443,2.6557,2.865,2.873,2.9327,3.0027,,,
2007/2/25,1.8147,2.9102,3.0297,2.7036,2.8654,2.8729,2.9327,3.0028,,,
2007/2/26,1.792,2.6662,2.9053,2.6964,2.8637,2.8729,2.9328,3.0028,,,
2007/2/27,1.6928,2.5313,2.7448,2.6891,2.8616,2.8729,2.9328,3.0028,,,
2007/2/28,1.6526,1.9919,2.1496,2.5326,2.8539,2.8728,2.9327,3.0028,,,
2007/3/1,1.5903,1.7584,1.9178,2.4624,2.8468,2.8726,2.9326,3.0028,,,
2007/3/2,1.5194,1.6838,1.7981,2.4225,2.8394,2.8722,2.9325,3.0028,,,
2007/3/5,1.4999,1.6676,1.7618,2.3073,2.8332,2.8721,2.9324,3.0028,,,
2007/3/6,1.4683,1.6145,1.7493,2.2561,2.8292,2.8719,2.9323,3.0028,,,
2007/3/7,1.4375,1.5498,1.7478,2.26,2.8247,2.8719,2.9323,3.0028,,,
2007/3/8,1.4153,1.5316,1.7539,2.2615,2.8231,2.8719,2.9322,3.0028,,,
2007/3/9,1.3952,1.4956,1.7553,2.2616,2.8217,2.8719,2.9322,3.0028,,,
2007/3/12,1.38,1.477,1.6578,2.2587,2.8215,2.8719,2.9322,3.0028,,,
2007/3/13,1.3643,1.4605,1.7364,2.2498,2.8211,2.8719,2.9345,3.0151,,,
2007/3/14,1.3535,1.4419,1.756,2.227,2.8203,2.872,2.9371,3.0302,,,
