date,on,1w,2w,1m,3m,6m,9m,1y
2015-02-09,2.812,4.335,4.807,5.025,4.904,4.7796,4.7538,4.779
2015-02-10,2.852,4.321,4.761,5.031,4.899,4.7791,4.7494,4.779
2015-02-11,2.932,4.42,4.791,5.044,4.9,4.7765,4.7482,4.78
2015-02-12,3.058,4.602,4.784,5.055,4.901,4.778,4.7491,4.7834
2015-02-13,3.091,4.663,4.775,5.064,4.9,4.7803,4.7512,4.7855
2015-02-15,3.175,4.72,4.786,5.067,4.9,4.7803,4.7513,4.7876
2015-02-16,3.182,4.7,4.781,5.077,4.9,4.7821,4.7512,4.7888
2015-02-17,3.4,4.749,4.859,5.076,4.9,4.7853,4.7512,4.7868
2015-02-25,3.328,4.768,4.814,5.08,4.9,4.7856,4.7512,4.7886
2015-02-26,3.298,4.717,4.816,5.0828,4.9,4.7846,4.7512,4.7878
2015-02-27,3.318,4.715,4.873,5.0832,4.9,4.7846,4.7512,4.7888
2015-02-28,3.441,4.772,4.896,5.0833,4.9,4.7825,4.7512,4.7879
2015-03-02,3.453,4.748,4.862,5.069,4.898,4.7795,4.7502,4.7829
2015-03-03,3.45,4.747,4.878,5.067,4.8979,4.7801,4.7491,4.7805
2015-03-04,3.446,4.717,4.868,5.066,4.8959,4.7791,4.751,4.7812
2015-03-05,3.433,4.729,4.861,5.064,4.896,4.78,4.7531,4.7802
2015-03-06,3.416,4.739,4.8685,5.06,4.8978,4.7791,4.7535,4.7821
2015-03-09,3.381,4.773,4.871,5.058,4.8979,4.7781,4.7515,4.7803
2015-03-10,3.35,4.763,4.836,5.055,4.8988,4.7789,4.7483,4.7801
2015-03-11,3.347,4.773,4.814,5.0518,4.9,4.7799,4.749,4.7801
2015-03-12,3.4644,4.7511,4.7989,5.0511,4.9,4.78,4.75,4.7801
2015-03-13,3.436,4.738,4.773,5.052,4.9,4.7801,4.75,4.78
2015-03-16,3.403,4.708,4.753,5.045,4.905,4.7811,4.752,4.7801
2015-03-17,3.376,4.62,4.692,5.04,4.905,4.7812,4.7525,4.7801
2015-03-18,3.369,4.602,4.666,5.035,4.906,4.7802,4.75,4.7801
2015-03-19,3.332,4.496,4.607,5.034,4.904,4.7812,4.7505,4.7801
2015-03-20,3.294,4.331,4.495,5.031,4.902,4.7802,4.7505,4.78
2015-03-23,3.217,4.143,4.362,5.029,4.899,4.78,4.75,4.78
2015-03-24,3.218,4.033,4.329,5.02,4.898,4.779,4.749,4.78
2015-03-25,3.21,3.955,4.294,5.018,4.8975,4.7796,4.7507,4.7801
2015-03-26,3.216,3.897,4.268,5.016,4.8975,4.7795,4.7495,4.78
2015-03-27,3.206,3.893,4.284,5.016,4.8975,4.7796,4.7495,4.78
2015-03-30,3.203,3.919,4.332,5.013,4.8975,4.7795,4.7495,4.78
2015-03-31,3.183,3.886,4.314,5.009,4.8975,4.7795,4.7495,4.78
2015-04-01,3.087,3.754,4.249,4.998,4.8975,4.7795,4.7495,4.78
2015-04-02,2.995,3.635,4.106,4.991,4.8975,4.7785,4.7495,4.78
2015-04-03,2.887,3.506,3.97,4.923,4.888,4.7794,4.7495,4.78
2015-04-07,2.766,3.319,3.833,4.845,4.8585,4.7784,4.7485,4.78
2015-04-08,2.683,3.163,3.733,4.7616,4.8305,4.7773,4.7483,4.78
2015-04-09,2.599,3.073,3.636,4.6475,4.8008,4.7762,4.7472,4.7798
2015-04-10,2.489,2.97,3.534,4.5582,4.7821,4.7755,4.7468,4.7785
2015-04-13,2.405,2.949,3.487,4.4983,4.7667,4.7733,4.7467,4.7774
2015-04-14,2.372,2.92,3.436,4.442,4.7535,4.77,4.7467,4.7773
2015-04-15,2.307,2.88,3.403,4.384,4.7365,4.769,4.7474,4.7773
2015-04-16,2.298,2.884,3.392,4.346,4.72,4.7585,4.7467,4.7753
2015-04-17,2.268,2.873,3.384,4.314,4.703,4.7485,4.7456,4.7758
2015-04-20,2.087,2.732,3.291,4.146,4.6133,4.6978,4.7094,4.7553
2015-04-21,2.002,2.62,3.172,4.015,4.4845,4.6461,4.6667,4.7265
2015-04-22,1.949,2.567,3.144,3.908,4.4161,4.596,4.6298,4.6935
2015-04-23,1.908,2.527,3.126,3.842,4.3431,4.539,4.604,4.6688
2015-04-24,1.851,2.488,3.099,3.768,4.2641,4.5085,4.5895,4.643
2015-04-27,1.806,2.451,3.099,3.6705,4.161,4.4676,4.5595,4.6278
2015-04-28,1.759,2.438,3.084,3.5982,4.08,4.4035,4.53,4.6075
2015-04-29,1.739,2.439,3.078,3.5295,4.035,4.3553,4.5102,4.5965
2015-04-30,1.69,2.43,3.069,3.465,3.97,4.324,4.4905,4.5816
2015-05-04,1.619,2.39,3.005,3.38,3.923,4.294,4.477,4.5628
2015-05-05,1.564,2.368,2.947,3.302,3.8815,4.2565,4.4567,4.5455
2015-05-06,1.523,2.369,2.94,3.267,3.846,4.23,4.4378,4.533
2015-05-07,1.489,2.355,2.91,3.241,3.823,4.212,4.4198,4.515
2015-05-08,1.443,2.334,2.834,3.211,3.7985,4.1831,4.396,4.5
2015-05-11,1.345,2.245,2.639,3.12,3.735,4.125,4.335,4.453
2015-05-12,1.29,2.197,2.635,3.083,3.681,4.09,4.292,4.415
2015-05-13,1.247,2.149,2.596,3.042,3.634,4.046,4.2553,4.3845
2015-05-14,1.182,2.056,2.536,2.957,3.482,3.962,4.1805,4.3115
2015-05-15,1.078,1.962,2.4,2.802,3.323,3.875,4.097,4.241
2015-05-18,1.052,1.92,2.384,2.664,3.2,3.772,4.022,4.171
2015-05-19,1.033,1.925,2.37,2.57,3.156,3.7,3.979,4.115
2015-05-20,1.032,1.932,2.38,2.514,3.071,3.648,3.939,4.024
2015-05-21,1.033,1.944,2.369,2.457,3.014,3.595,3.9,3.948
2015-05-22,1.037,1.966,2.295,2.389,2.959,3.561,3.8625,3.866
2015-05-25,1.039,1.968,2.207,2.302,2.903,3.445,3.681,3.692
2015-05-26,1.04,1.9688,2.205,2.268,2.881,3.344,3.538,3.574
