,OPEN,HIGH,LOW,CLOSE,symbol
2021/12/24,140.0056,140.2271,137.1613,137.601,CI005101.WI
2021/12/24,2370.3181,2373.3293,2294.6929,2302.9761,CI005193.WI
2021/12/24,1272.1926,1272.4634,1253.127,1256.6327,CI005198.WI
2021/12/24,1339.4009,1359.9758,1336.4431,1359.0166,CI005813.WI
2021/12/24,1880.89,1880.89,1864.3843,1871.1951,CI005166.WI
2021/12/24,1581.9762,1586.5507,1553.6433,1561.0591,CI005812.WI
2021/12/24,13611.0947,13737.209,13596.8408,13651.7813,CI005133.WI
2021/12/24,1563.6122,1577.921,1549.4801,1561.9576,CI005835.WI
2021/12/24,2195.3611,2214.0688,2179.1125,2187.1406,CI005834.WI
2021/12/24,5606.499,5608.5293,5519.8276,5559.4785,CI005168.WI
2021/12/24,1979.233,1981.3796,1956.043,1960.139,CI005170.WI
2021/12/24,3263.8579,3263.8579,3135.415,3143.1013,CI005129.WI
2021/12/24,1502.6985,1505.9055,1484.5891,1485.8601,CI005836.WI
2021/12/24,4426.3843,4426.6533,4086.1511,4147.646,CI005810.WI
2021/12/24,1284.7856,1289.0933,1261.556,1267.0651,CI005847.WI
2021/12/24,3293.3528,3370.9189,3222.4609,3251.7876,CI005105.WI
2021/12/24,4033.9688,4074.8755,3969.5752,4051.3374,CI005171.WI
2021/12/24,1014.9672,1040.7167,1013.9131,1037.359,CI005811.WI
2021/12/24,7041.2183,7057.7461,6889.3657,6889.3657,CI005127.WI
2021/12/24,3783.7742,3924.1528,3742.845,3824.3826,CI005134.WI
2021/12/24,529.7448,534.245,525.3849,533.1677,CI005814.WI
2021/12/24,1098.0444,1100.6742,1069.5243,1069.5243,CI005197.WI
2021/12/24,911.1674,916.4269,895.087,895.9897,CI005830.WI
2021/12/24,1107.5343,1108.6481,1074.2924,1075.6525,CI005817.WI
2021/12/24,1593.1276,1600.9103,1560.4906,1561.0492,CI005162.WI
2021/12/24,5844.3237,5870.4053,5723.6816,5732.5415,CI005137.WI
2021/12/24,893.2373,897.3763,878.3759,882.5081,CI005831.WI
2021/12/24,645.5878,653.049,639.5613,642.6492,CI005816.WI
2021/12/24,7968.3628,8021.458,7905.5845,7907.3862,CI005165.WI
2021/12/24,1954.3319,1958.8446,1949.3403,1953.8363,CI005163.WI
2021/12/24,1255.2815,1259.2468,1186.1066,1188.7502,CI005832.WI
2021/12/24,1101.0176,1101.536,1084.9846,1094.6212,CI005815.WI
2021/12/24,10756.7031,10756.7031,10675.0596,10679.001,CI005164.WI
2021/12/24,1098.8442,1108.6366,1082.4127,1090.9536,CI005848.WI
2021/12/24,2726.9441,2733.5212,2673.5552,2675.304,CI005104.WI
2021/12/24,1539.2826,1546.0526,1522.3016,1524.1996,CI005135.WI
2021/12/24,,,,1000,CI005833.WI
2021/12/24,21676.3828,21679.2344,20618.4219,20745.4844,CI005136.WI
2021/12/24,1660.1555,1674.9016,1645.4502,1646.3707,CI005837.WI
2021/12/24,3083.366,3086.0393,2976.866,2979.4209,CI005809.WI
2021/12/24,1531.6766,1531.8334,1498.2114,1509.1083,CI005172.WI
2021/12/24,1100.8075,1105.0577,1083.8417,1089.3334,CI005842.WI
2021/12/24,1939.7676,1942.3816,1878.5186,1879.4045,CI005191.WI
2021/12/24,2023.1324,2026.0526,1985.6044,1992.8699,CI005800.WI
2021/12/24,1286.9529,1287.5924,1234.3765,1237.953,CI005804.WI
2021/12/24,1032.793,1035.9956,1018.9694,1022.2773,CI005187.WI
2021/12/24,4197.8398,4203.3281,4115.418,4116.853,CI005110.WI
2021/12/24,1149.1219,1152.3971,1128.0021,1129.0394,CI005843.WI
2021/12/24,1825.4401,1826.427,1771.5409,1773.3163,CI005111.WI
2021/12/24,1148.131,1167.527,1142.9775,1155.8442,CI005803.WI
2021/12/24,2994.9302,3069.252,2988.9382,3008.9417,CI005109.WI
2021/12/24,1459.1251,1467.4095,1453.03,1458.5709,CI005844.WI
2021/12/24,2349.1226,2349.5486,2289.25,2296.3972,CI005190.WI
