,code,day,direction,rank,abnormal_code,abnormal_name,sales_depart_name,buy_value,sell_value,total_value,net_value,amount
98350,600784.SH,2013/1/4,SELL,5,106001,涨幅偏离值达7%的证券,安信证券股份有限公司济南泉城路证券营业部,,80370,,,3105964
98425,300316.SZ,2013/1/4,SELL,4,106001,涨幅偏离值达7%的证券,安信证券股份有限公司揭阳惠来证券营业部,0,2890920,2890920,-2890920,208416523
98685,000799.SZ,2013/1/4,SELL,5,106004,换手率达20%的证券,安信证券股份有限公司上海世纪大道证券营业部,1065188,46673984,47739172,-45608796,1794010551
98540,002694.SZ,2013/1/4,BUY,2,106004,换手率达20%的证券,安信证券股份有限公司上海世纪大道中建大厦证券营业部,4286723,0,4286723,4286723,184695721
98538,002694.SZ,2013/1/4,BUY,5,106004,换手率达20%的证券,渤海证券股份有限公司上海彰武路证券营业部,1898662,1959,1900621,1896703,184695721
98368,600722.SH,2013/1/4,SELL,3,106099,其它异常波动的证券,财达证券有限责任公司沧州广场街证券营业部,,3125053,,,62574696
98432,300316.SZ,2013/1/4,BUY,1,106001,涨幅偏离值达7%的证券,财达证券有限责任公司秦皇岛海宁路证券营业部,3733809,0,3733809,3733809,208416523
98552,002671.SZ,2013/1/4,BUY,4,106001,涨幅偏离值达7%的证券,财达证券有限责任公司秦皇岛迎宾路证券营业部,3094576,0,3094576,3094576,190670983
98527,002700.SZ,2013/1/4,BUY,5,106004,换手率达20%的证券,财富证券有限责任公司长沙曙光中路证券营业部,2173459,93512,2266971,2079947,215270955
98411,300353.SZ,2013/1/4,SELL,4,106004,换手率达20%的证券,财通证券有限责任公司湖州红旗路证券营业部,45508,2794585,2840093,-2749077,131245309
98417,300348.SZ,2013/1/4,BUY,5,106004,换手率达20%的证券,财通证券有限责任公司丽水北苑路证券营业部,1988110,0,1988110,1988110,152656246
98391,600532.SH,2013/1/4,SELL,3,106001,涨幅偏离值达7%的证券,财通证券有限责任公司宁波天童北路证券营业部,,5491595,,,92539704
98476,300262.SZ,2013/1/4,BUY,1,106004,换手率达20%的证券,财通证券有限责任公司绍兴人民中路证券营业部,27140992,4547120,31688112,22593872,287597870
98640,002145.SZ,2013/1/4,SELL,4,106001,涨幅偏离值达7%的证券,财通证券有限责任公司绍兴人民中路证券营业部,40804,8969365,9010169,-8928561,418279769
98649,002145.SZ,2013/1/4,SELL,4,106004,换手率达20%的证券,财通证券有限责任公司绍兴人民中路证券营业部,40804,8969365,9010169,-8928561,418279769
98553,002671.SZ,2013/1/4,SELL,4,106001,涨幅偏离值达7%的证券,财通证券有限责任公司台州解放南路证券营业部,6720,3032972,3039692,-3026252,190670983
98397,600532.SH,2013/1/4,SELL,2,106001,涨幅偏离值达7%的证券,财通证券有限责任公司温岭东辉北路证券营业部,,12121736,,,92539704
98563,002606.SZ,2013/1/4,SELL,1,106004,换手率达20%的证券,财通证券有限责任公司温岭东辉北路证券营业部,69034,13544417,13613451,-13475383,293346453
98459,300291.SZ,2013/1/4,BUY,4,106001,涨幅偏离值达7%的证券,大通证券股份有限公司北京建国路证券营业部,3084307,0,3084307,3084307,141198339
98574,002492.SZ,2013/1/4,SELL,2,106001,涨幅偏离值达7%的证券,大同证券经纪有限责任公司大同站北街证券营业部,0,11112500,11112500,-11112500,145970121
98704,000677.SZ,2013/1/4,SELL,3,106010,连续三个交易日内涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,第一创业证券股份有限公司北京平安大街证券营业部,0,138975,138975,-138975,29825508
98556,002606.SZ,2013/1/4,BUY,3,106004,换手率达20%的证券,第一创业证券股份有限公司北京平安大街证券营业部,2863406,331012,3194418,2532394,293346453
98353,600784.SH,2013/1/4,SELL,2,106001,涨幅偏离值达7%的证券,东北证券股份有限公司长春前进大街证券营业部,,265620,,,3105964
98505,300103.SZ,2013/1/4,SELL,3,106004,换手率达20%的证券,东方证券股份有限公司抚顺裕民路证券营业部,24744,3614127,3638871,-3589383,255676532
98344,600882.SH,2013/1/4,BUY,4,106006,连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,东方证券股份有限公司上海四平路证券营业部,8762318.19,,,,401157920
98660,000898.SZ,2013/1/4,SELL,3,106001,涨幅偏离值达7%的证券,东海证券有限责任公司南京长江路证券营业部,0,7129661,7129661,-7129661,389722923
98628,002151.SZ,2013/1/4,BUY,2,106006,连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,东海证券有限责任公司南京长江路证券营业部,20566013,14038707,34604720,6527306,1076972325
98622,002151.SZ,2013/1/4,SELL,3,106006,连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,东海证券有限责任公司南京长江路证券营业部,20566013,14038707,34604720,6527306,1076972325
98576,002492.SZ,2013/1/4,SELL,1,106001,涨幅偏离值达7%的证券,东海证券有限责任公司深圳香梅路证券营业部,0,31508085,31508085,-31508085,145970121
98481,300251.SZ,2013/1/4,BUY,4,106004,换手率达20%的证券,东吴证券股份有限公司昆山前进中路证券营业部,7695625,405857,8101482,7289768,732502149
98428,300316.SZ,2013/1/4,BUY,5,106001,涨幅偏离值达7%的证券,东吴证券股份有限公司昆山前进中路证券营业部,2254880,525323,2780203,1729557,208416523
98408,300353.SZ,2013/1/4,BUY,5,106004,换手率达20%的证券,东吴证券股份有限公司昆山前进中路证券营业部,1648485,74578,1723063,1573907,131245309
98516,002703.SZ,2013/1/4,BUY,3,106004,换手率达20%的证券,东吴证券股份有限公司苏州工业园区现代大道证券营业部,1495953,566545,2062498,929408,81835212
98403,300353.SZ,2013/1/4,SELL,2,106004,换手率达20%的证券,东吴证券股份有限公司长沙人民中路证券营业部,0,3272931,3272931,-3272931,131245309
98501,300103.SZ,2013/1/4,SELL,1,106004,换手率达20%的证券,东兴证券股份有限公司泉州田安路证券营业部,93673,6226767,6320440,-6133094,255676532
98697,000750.SZ,2013/1/4,BUY,1,106004,换手率达20%的证券,方正证券股份有限公司杭州延安路证券营业部,18380466,127213,18507679,18253253,1267414357
98450,300295.SZ,2013/1/4,BUY,5,106001,涨幅偏离值达7%的证券,方正证券股份有限公司冷水江锑都中路证券营业部,5934918,0,5934918,5934918,168894660
98690,000750.SZ,2013/1/4,BUY,4,106004,换手率达20%的证券,方正证券股份有限公司台州解放路证券营业部,13392096,694809,14086905,12697287,1267414357
98554,002671.SZ,2013/1/4,BUY,3,106001,涨幅偏离值达7%的证券,方正证券股份有限公司长沙建湘路证券营业部,5776582,0,5776582,5776582,190670983
98507,300103.SZ,2013/1/4,SELL,5,106004,换手率达20%的证券,光大证券股份有限公司奉化南山路证券营业部,0,2864770,2864770,-2864770,255676532
98378,600537.SH,2013/1/4,BUY,1,106001,涨幅偏离值达7%的证券,光大证券股份有限公司佛山绿景路证券营业部,15921741.75,,,,205246528
98549,002671.SZ,2013/1/4,BUY,2,106001,涨幅偏离值达7%的证券,光大证券股份有限公司杭州庆春路证券营业部,5936466,0,5936466,5936466,190670983
98482,300251.SZ,2013/1/4,SELL,5,106004,换手率达20%的证券,光大证券股份有限公司宁波彩虹南路证券营业部,5427913,16779594,22207507,-11351681,732502149
98356,600784.SH,2013/1/4,BUY,1,106001,涨幅偏离值达7%的证券,光大证券股份有限公司宁波解放南路证券营业部,2732010,,,,3105964
98406,300353.SZ,2013/1/4,BUY,3,106004,换手率达20%的证券,光大证券股份有限公司宁波中山西路证券营业部,1809685,28912,1838597,1780773,131245309
98661,000898.SZ,2013/1/4,BUY,2,106001,涨幅偏离值达7%的证券,光大证券股份有限公司上海世纪大道证券营业部,25831823,29620,25861443,25802203,389722923
98651,002145.SZ,2013/1/4,SELL,5,106004,换手率达20%的证券,光大证券股份有限公司上海世纪大道证券营业部,84465,6886813,6971278,-6802348,418279769
98642,002145.SZ,2013/1/4,SELL,5,106001,涨幅偏离值达7%的证券,光大证券股份有限公司上海世纪大道证券营业部,84465,6886813,6971278,-6802348,418279769
98474,300262.SZ,2013/1/4,BUY,2,106004,换手率达20%的证券,光大证券股份有限公司深圳金田路证券营业部,5832846,17202495,23035341,-11369649,287597870
98477,300262.SZ,2013/1/4,SELL,1,106004,换手率达20%的证券,光大证券股份有限公司深圳金田路证券营业部,5832846,17202495,23035341,-11369649,287597870
98748,000043.SZ,2013/1/4,BUY,2,106006,连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,光大证券股份有限公司深圳金田路证券营业部,27633248,3067442,30700690,24565806,1371305835
98431,300316.SZ,2013/1/4,SELL,2,106001,涨幅偏离值达7%的证券,光大证券股份有限公司深圳新园路证券营业部,0,4091090,4091090,-4091090,208416523
98583,002484.SZ,2013/1/4,SELL,3,106001,涨幅偏离值达7%的证券,光大证券股份有限公司深圳新园路证券营业部,16330,1866501,1882831,-1850171,100196276
98400,600532.SH,2013/1/4,BUY,1,106001,涨幅偏离值达7%的证券,光大证券股份有限公司余姚阳明西路证券营业部,20831491,,,,92539704
98737,000156.SZ,2013/1/4,BUY,1,106001,涨幅偏离值达7%的证券,光大证券股份有限公司余姚阳明西路证券营业部,8668521,25806,8694327,8642715,216336298
98722,000156.SZ,2013/1/4,BUY,1,106004,换手率达20%的证券,光大证券股份有限公司余姚阳明西路证券营业部,8668521,25806,8694327,8642715,216336298
98518,002703.SZ,2013/1/4,SELL,1,106004,换手率达20%的证券,光大证券股份有限公司长沙芙蓉中路证券营业部,0,1040022,1040022,-1040022,81835212
98593,002460.SZ,2013/1/4,BUY,3,106001,涨幅偏离值达7%的证券,广发证券股份有限公司杭州市天目山路证券营业部,4311720,0,4311720,4311720,83172986
98407,300353.SZ,2013/1/4,SELL,1,106004,换手率达20%的证券,广发证券股份有限公司荆州北京路证券营业部,353152,4306434,4659586,-3953282,131245309
98539,002694.SZ,2013/1/4,SELL,3,106004,换手率达20%的证券,广发证券股份有限公司汕头梅溪东路证券营业部,65557,4348267,4413824,-4282710,184695721
98416,300348.SZ,2013/1/4,SELL,5,106004,换手率达20%的证券,广发证券股份有限公司上海中山北二路证券营业部,793553,2283411,3076964,-1489858,152656246
98345,600882.SH,2013/1/4,SELL,3,106006,连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,广发证券股份有限公司深圳民田路证券营业部,,15935221.15,,,401157920
98348,600882.SH,2013/1/4,BUY,2,106006,连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,广发证券股份有限公司深圳民田路证券营业部,14658604.03,,,,401157920
98654,002145.SZ,2013/1/4,BUY,1,106004,换手率达20%的证券,广发证券股份有限公司深圳民田路证券营业部,12357791,5107537,17465328,7250254,418279769
98635,002145.SZ,2013/1/4,BUY,1,106001,涨幅偏离值达7%的证券,广发证券股份有限公司深圳民田路证券营业部,12357791,5107537,17465328,7250254,418279769
98652,002145.SZ,2013/1/4,BUY,5,106004,换手率达20%的证券,广发证券股份有限公司深圳南园路证券营业部,5105573,0,5105573,5105573,418279769
98633,002145.SZ,2013/1/4,BUY,5,106001,涨幅偏离值达7%的证券,广发证券股份有限公司深圳南园路证券营业部,5105573,0,5105573,5105573,418279769
98514,002703.SZ,2013/1/4,SELL,4,106004,换手率达20%的证券,广发证券股份有限公司苏州干将东路证券营业部,0,803668,803668,-803668,81835212
98601,002239.SZ,2013/1/4,SELL,2,106006,连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,广发证券股份有限公司烟台大海阳路证券营业部,0,2422000,2422000,-2422000,23738968
98465,300291.SZ,2013/1/4,BUY,1,106001,涨幅偏离值达7%的证券,国都证券有限责任公司北京北三环中路证券营业部,7884632,0,7884632,7884632,141198339
98520,002703.SZ,2013/1/4,SELL,5,106004,换手率达20%的证券,国都证券有限责任公司深圳金田路证券营业部,8562,733925,742487,-725363,81835212
98536,002694.SZ,2013/1/4,BUY,4,106004,换手率达20%的证券,国海证券股份有限公司桂林荔浦县荔柳路证券营业部,2067357,0,2067357,2067357,184695721
98427,300316.SZ,2013/1/4,SELL,5,106001,涨幅偏离值达7%的证券,国海证券股份有限公司南宁教育路证券营业部,359285,2757863,3117148,-2398578,208416523
98413,300348.SZ,2013/1/4,BUY,3,106004,换手率达20%的证券,国海证券股份有限公司南宁教育路证券营业部,2376747,3071,2379818,2373676,152656246
98677,000799.SZ,2013/1/4,SELL,3,106004,换手率达20%的证券,国金证券股份有限公司上海中山南路证券营业部,330200,85906085,86236285,-85575885,1794010551
98441,300298.SZ,2013/1/4,BUY,2,106001,涨幅偏离值达7%的证券,国联证券股份有限公司宜兴人民南路证券营业部,5387840,6098,5393938,5381742,224733618
98448,300295.SZ,2013/1/4,BUY,4,106001,涨幅偏离值达7%的证券,国泰君安交易单元(227002),8893500,0,8893500,8893500,168894660
98749,000043.SZ,2013/1/4,SELL,1,106006,连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,国泰君安交易单元(227002),27716097,29495913,57212010,-1779816,1371305835
98750,000043.SZ,2013/1/4,BUY,1,106006,连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,国泰君安交易单元(227002),27716097,29495913,57212010,-1779816,1371305835
98681,000799.SZ,2013/1/4,SELL,1,106004,换手率达20%的证券,国泰君安交易单元(390426),0,167007684,167007684,-167007684,1794010551
98463,300291.SZ,2013/1/4,BUY,2,106001,涨幅偏离值达7%的证券,国泰君安证券股份有限公司北京金融街证券营业部,5773293,0,5773293,5773293,141198339
98510,300103.SZ,2013/1/4,BUY,3,106004,换手率达20%的证券,国泰君安证券股份有限公司成都北一环路证券营业部,4661723,515696,5177419,4146027,255676532
98362,600722.SH,2013/1/4,BUY,3,106099,其它异常波动的证券,国泰君安证券股份有限公司成都北一环路证券营业部,8888419.92,,,,62574696
98627,002151.SZ,2013/1/4,BUY,3,106006,连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,国泰君安证券股份有限公司成都北一环路证券营业部,17760956,13260163,31021119,4500793,1076972325
98624,002151.SZ,2013/1/4,SELL,4,106006,连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,国泰君安证券股份有限公司成都北一环路证券营业部,17760956,13260163,31021119,4500793,1076972325
98470,300262.SZ,2013/1/4,BUY,4,106004,换手率达20%的证券,国泰君安证券股份有限公司宁波彩虹北路证券营业部,5087658,215841,5303499,4871817,287597870
98691,000750.SZ,2013/1/4,BUY,5,106004,换手率达20%的证券,国泰君安证券股份有限公司宁波彩虹北路证券营业部,12981448,29916219,42897667,-16934771,1267414357
98696,000750.SZ,2013/1/4,SELL,1,106004,换手率达20%的证券,国泰君安证券股份有限公司宁波彩虹北路证券营业部,12981448,29916219,42897667,-16934771,1267414357
98586,002484.SZ,2013/1/4,BUY,1,106001,涨幅偏离值达7%的证券,国泰君安证券股份有限公司厦门嘉禾路证券营业部,5806926,0,5806926,5806926,100196276
98630,002151.SZ,2013/1/4,SELL,1,106006,连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,国泰君安证券股份有限公司上海打浦路证券营业部,36408596,39277735,75686331,-2869139,1076972325
98631,002151.SZ,2013/1/4,BUY,1,106006,连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,国泰君安证券股份有限公司上海打浦路证券营业部,36408596,39277735,75686331,-2869139,1076972325
98602,002239.SZ,2013/1/4,BUY,1,106006,连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,国泰君安证券股份有限公司上海打浦路证券营业部,11803617,0,11803617,11803617,23738968
98657,000898.SZ,2013/1/4,BUY,4,106001,涨幅偏离值达7%的证券,国泰君安证券股份有限公司上海福山路证券营业部,13694238,4557,13698795,13689681,389722923
98609,002239.SZ,2013/1/4,BUY,5,106006,连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,国泰君安证券股份有限公司深圳笋岗路证券营业部,1349749,0,1349749,1349749,23738968
98699,000677.SZ,2013/1/4,BUY,5,106010,连续三个交易日内涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,国泰君安证券股份有限公司深圳益田路证券营业部,630974,0,630974,630974,29825508
