,trade_date,ts_code,exalter, buy , sell ,net_buy,side,reason
375,20130104,600784.SH,安信证券股份有限公司济南泉城路证券营业部," 80,370.00 ",,-80370,1,涨幅偏离值达7%的证券
307,20130104,300316.SZ,安信证券股份有限公司揭阳惠来证券营业部," 2,890,920.00 ", -   ,-2890920,1,涨幅偏离值达7%的证券
64,20130104,000799.SZ,安信证券股份有限公司上海世纪大道证券营业部," 46,673,984.40 "," 1,065,187.82 ",-45608796.58,1,换手率达20%的证券
207,20130104,002694.SZ,安信证券股份有限公司上海世纪大道中建大厦证券营业部, -   ," 4,286,723.39 ",4286723.39,0,换手率达20%的证券
209,20130104,002694.SZ,渤海证券股份有限公司上海彰武路证券营业部," 1,959.00 "," 1,898,662.00 ",1896703,0,换手率达20%的证券
366,20130104,600722.SH,财达证券有限责任公司沧州广场街证券营业部," 3,125,053.00 ",,-3125053,1,ST股票、*ST股票和S股连续三个交易日触及涨幅限制的股票
309,20130104,300316.SZ,财达证券有限责任公司秦皇岛海宁路证券营业部, -   ," 3,733,808.56 ",3733808.56,0,涨幅偏离值达7%的证券
198,20130104,002671.SZ,财达证券有限责任公司秦皇岛迎宾路证券营业部, -   ," 3,094,576.00 ",3094576,0,涨幅偏离值达7%的证券
218,20130104,002700.SZ,财富证券有限责任公司长沙曙光中路证券营业部," 93,512.00 "," 2,173,459.40 ",2079947.4,0,换手率达20%的证券
329,20130104,300353.SZ,财通证券有限责任公司湖州红旗路证券营业部," 2,794,584.52 "," 45,508.00 ",-2749076.52,1,换手率达20%的证券
318,20130104,300348.SZ,财通证券有限责任公司丽水北苑路证券营业部, -   ," 1,988,109.80 ",1988109.8,0,换手率达20%的证券
337,20130104,600532.SH,财通证券有限责任公司宁波天童北路证券营业部," 5,491,595.00 ",,-5491595,1,涨幅偏离值达7%的证券
118,20130104,002145.SZ,财通证券有限责任公司绍兴人民中路证券营业部," 8,969,365.18 "," 40,804.00 ",-8928561.18,1,换手率达20%的证券
119,20130104,002145.SZ,财通证券有限责任公司绍兴人民中路证券营业部," 8,969,365.18 "," 40,804.00 ",-8928561.18,1,涨幅偏离值达7%的证券
