,close,open,high,low,volume,code
2003-01-02,937.4236,951.4333,964.2258,929.2131,814281000.0,881001.WI
2003-01-03,938.2324,934.5483,947.9292,925.5786,632323300.0,881001.WI
2003-01-06,950.498,936.394,955.5342,927.1227,680500450.0,881001.WI
2003-01-07,948.2632,950.4555,964.5869,938.5097,790111200.0,881001.WI
2003-01-08,974.6976,947.0679,979.6497,941.1552,1237519300.0,881001.WI
2003-01-09,993.4863,976.7324,1002.7162,964.7009,2383385200.0,881001.WI
2003-01-10,983.8417,993.3475,1009.6221,977.1845,2180739200.0,881001.WI
2003-01-13,986.9403,980.3825,996.8843,972.2448,1202724200.0,881001.WI
2003-01-14,1036.8066,987.0963,1052.6674,981.9983,4447218800.0,881001.WI
2003-01-15,1031.5706,1040.9998,1062.239,1017.6295,4394197200.0,881001.WI
2003-01-16,1050.9056,1030.7817,1058.179,1022.5715,2918538800.0,881001.WI
2003-01-17,1045.3276,1052.7832,1065.302,1034.7974,2641401000.0,881001.WI
2003-01-20,1049.4617,1042.7247,1057.9209,1026.4583,2015043400.0,881001.WI
2003-01-21,1029.6388,1051.5745,1062.8772,1024.8401,1964229600.0,881001.WI
2003-01-22,1034.593,1025.204,1044.416,1016.8359,1629007800.0,881001.WI
2003-01-23,1025.7411,1033.761,1048.3042,1018.7953,1555175400.0,881001.WI
2003-01-24,1041.2958,1024.1858,1048.7546,1016.2977,1896168200.0,881001.WI
2003-01-27,1054.7506,1043.2787,1063.5139,1036.2662,1894226000.0,881001.WI
2003-01-28,1057.8636,1055.4843,1066.0659,1044.7194,1375439200.0,881001.WI
2003-01-29,1056.4956,1057.892,1070.0056,1048.5496,1548873600.0,881001.WI
2003-02-10,1043.1133,1055.0382,1062.17,1035.4053,1015886600.0,881001.WI
2003-02-11,1054.426,1040.9724,1058.3478,1036.0413,891023800.0,881001.WI
2003-02-12,1067.3473,1053.5695,1072.1793,1045.1217,1461501500.0,881001.WI
2003-02-13,1063.2705,1068.7074,1082.4182,1056.3727,1777244800.0,881001.WI
2003-02-14,1067.856,1062.1458,1076.9164,1055.3854,1307992800.0,881001.WI
2003-02-17,1059.7974,1068.215,1079.3109,1051.4115,1489352600.0,881001.WI
2003-02-18,1060.1318,1058.1228,1068.7141,1049.2854,1075848900.0,881001.WI
2003-02-19,1069.9471,1060.1969,1073.9141,1051.5558,1233122000.0,881001.WI
