etf_code,etf_name,track_code,track_name,sw_code,sw_name,match_status,match_evidence
511880.SH,银华日利ETF,,,,,no-track-info,
511380.SH,可转债ETF博时,931078.CSI,中证转债及可交换债,,,non-industry:bond,债
511360.SH,短融ETF海富通,h11014.CSI,中证短融,,,non-industry:bond,短融
551550.SH,科创债ETF华夏,932160.CSI,AAA科创债,,,non-industry:bond,债
159700.SZ,科创债ETF南方,932160.CSI,AAA科创债,,,non-industry:bond,债
511200.SH,信用债ETF华夏,950245.CSI,沪做市公司债,,,non-industry:bond,债
511100.SH,国债ETF华夏,950243.CSI,沪做市国债,,,non-industry:bond,债
511990.SH,华宝添益ETF,,,,,no-track-info,
551800.SH,科创债ETF国泰,932160.CSI,AAA科创债,,,non-industry:bond,债
511070.SH,公司债ETF南方,950245.CSI,沪做市公司债,,,non-industry:bond,债
588000.SH,科创50ETF华夏,000688.SH,科创50,,,non-industry:broad,科创50
551030.SH,科创债ETF鹏华,950167.CSI,沪AAA科创债,,,non-industry:bond,债
513310.SH,中韩半导体ETF华泰柏瑞,931790.CSI,中韩半导体,,,non-industry:overseas,中韩
511580.SH,国债政金债ETF招商,932200.CSI,国债及政金债0-3,,,non-industry:bond,债
588200.SH,科创芯片ETF嘉实,000685.SH,科创芯片,801080.SI,电子,matched,801080.SI:芯片
159816.SZ,0-4年地方债ETF鹏华,931161.CSI,0-4年地债,,,non-industry:bond,债
511090.SH,30年国债ETF鹏扬,CBA21801.CS,中债-30年期国债财富(总值)指数,,,non-industry:bond,债
159915.SZ,创业板ETF易方达,399006.SZ,创业板指,,,non-industry:broad,创业板指
511260.SH,十年国债ETF国泰,h01077.SH,上证10年国债(净),,,non-industry:bond,债
159116.SZ,科创债ETF工银,932160.CSI,AAA科创债,,,non-industry:bond,债
513090.SH,香港证券ETF易方达,930709.CSI,香港证券,,,non-industry:overseas,香港
563360.SH,A500ETF华泰柏瑞,000510.SH,中证A500,,,non-industry:broad,中证A50
159338.SZ,中证A500ETF国泰,000510.SH,中证A500,,,non-industry:broad,中证A50
518880.SH,黄金ETF华安,Au9999.SGE,SGE黄金9999,,,non-industry:commodity,黄金
515880.SH,通信ETF国泰,931160.CSI,通信设备,801770.SI,通信,matched,801770.SI:通信设备
159600.SZ,科创债ETF嘉实,932160.CSI,AAA科创债,,,non-industry:bond,债
513130.SH,恒生科技ETF华泰柏瑞,HSTECH.HI,恒生科技,,,non-industry:overseas,恒生
159111.SZ,科创债ETF天弘,932160.CSI,AAA科创债,,,non-industry:bond,债
511110.SH,公司债ETF易方达,950245.CSI,沪做市公司债,,,non-industry:bond,债
159112.SZ,科创债ETF银华,932160.CSI,AAA科创债,,,non-industry:bond,债
511120.SH,科创债ETF广发,950167.CSI,沪AAA科创债,,,non-industry:bond,债
511130.SH,30年国债ETF博时,950175.CSI,沪30年国债,,,non-industry:bond,债
513120.SH,港股创新药ETF广发,931787CNY00.CSI,港股创新药CNY,,,non-industry:overseas,港股
513180.SH,恒生科技ETF华夏,HSTECH.HI,恒生科技,,,non-industry:overseas,恒生
159516.SZ,半导体设备ETF国泰,931743.CSI,半导体材料设备,801080.SI,电子,matched,801080.SI:半导体
588170.SH,科创半导体ETF华夏,950125.CSI,科创半导体材料设备,801080.SI,电子,matched,801080.SI:半导体
159792.SZ,港股通互联网ETF富国,931637.CSI,港股通互联网,,,non-industry:overseas,港股
159949.SZ,创业板50ETF华安,399673.SZ,创业板50,,,non-industry:broad,创业板50
511150.SH,科创债ETF永赢,950167.CSI,沪AAA科创债,,,non-industry:bond,债
159352.SZ,A500ETF南方,000510.SH,中证A500,,,non-industry:broad,中证A50
510500.SH,中证500ETF南方,000905.SH,中证500,,,non-industry:broad,中证500
511030.SH,公司债ETF平安,CBC00702.CS,中债-中高等级公司债利差因子净价(总值)指数,,,non-industry:bond,债
159131.SZ,港股通信息技术ETF华宝,930967.CSI,港股通信息C,,,non-industry:overseas,港股
159570.SZ,港股通创新药ETF汇添富,987018.CNI,港股通创新药,,,non-industry:overseas,港股
513350.SH,标普油气ETF富国,SPSIOP.SPI,标普石油天然气勘探及生产精选行业,,,non-industry:overseas,标普
511180.SH,可转债ETF海富通,950041.CSI,上证投资级转债及可交换债,,,non-industry:bond,债
512880.SH,证券ETF国泰,399975.SZ,证券公司,801790.SI,非银金融,matched,801790.SI:证券公司
513330.SH,恒生互联网ETF华夏,HSIII.HI,恒生互联网科技业,,,non-industry:overseas,恒生
159397.SZ,信用债ETF广发,921128.CNI,深做市信用债,,,non-industry:bond,债
512100.SH,中证1000ETF南方,000852.SH,中证1000,,,non-industry:broad,中证100
551300.SH,科创债ETF摩根,950167.CSI,沪AAA科创债,,,non-industry:bond,债
513050.SH,中概互联网ETF易方达,h30533.CSI,中国互联网50,,,non-industry:overseas,中概
588080.SH,科创50ETF易方达,000688.SH,科创50,,,non-industry:broad,科创50
159972.SZ,5年地方债ETF鹏华,930865.CSI,5年地债,,,non-industry:bond,债
511060.SH,5年地方债ETF海富通,h40045.CSI,上证5年期地债(净),,,non-industry:bond,债
551520.SH,科创债ETF汇添富,932160.CSI,AAA科创债,,,non-industry:bond,债
512480.SH,半导体ETF国联安,h30184.CSI,中证全指半导体,,,non-industry:broad,中证全指
510300.SH,沪深300ETF华泰柏瑞,000300.SH,沪深300,,,non-industry:broad,沪深300
512050.SH,A500ETF华夏,000510.SH,中证A500,,,non-industry:broad,中证A50
551060.SH,科创债ETF中银,950167.CSI,沪AAA科创债,,,non-industry:bond,债
159941.SZ,纳指ETF广发,NDX.GI,纳斯达克100,,,non-industry:overseas,纳斯达克
551560.SH,科创债ETF兴业,932160.CSI,AAA科创债,,,non-industry:bond,债
511190.SH,信用债ETF海富通,950245.CSI,沪做市公司债,,,non-industry:bond,债
159115.SZ,科创债ETF华安,932160.CSI,AAA科创债,,,non-industry:bond,债
513010.SH,恒生科技ETF易方达,HSTECH.HI,恒生科技,,,non-industry:overseas,恒生
159363.SZ,创业板人工智能ETF华宝,970070.CNI,创业板人工智能,801750.SI,计算机,matched,801750.SI:人工智能
159113.SZ,科创债ETF大成,932160.CSI,AAA科创债,,,non-industry:bond,债
159518.SZ,标普油气ETF嘉实,SPSIOP.SPI,标普石油天然气勘探及生产精选行业,,,non-industry:overseas,标普
159529.SZ,标普消费ETF景顺,SP5CSSUP.SPI,标普500消费精选,,,non-industry:overseas,标普
159845.SZ,中证1000ETF华夏,000852.SH,中证1000,,,non-industry:broad,中证100
159995.SZ,芯片ETF华夏,980017.CNI,国证芯片(CNI),801080.SI,电子,matched,801080.SI:国证芯片
159361.SZ,A500ETF易方达,000510.SH,中证A500,,,non-industry:broad,中证A50
159326.SZ,电网设备ETF华夏,931994.CSI,电网设备主题,801730.SI,电力设备,matched,801730.SI:电网设备
511520.SH,政金债ETF富国,CBA08203.CS,中债-7-10年政策性金融债全价(总值)指数,,,non-industry:bond,债
510050.SH,上证50ETF华夏,000016.SH,上证50,,,non-industry:broad,上证50
159206.SZ,卫星ETF永赢,980018.CNI,卫星通信,801770.SI,通信,matched,801770.SI:通信
512000.SH,券商ETF华宝,399975.SZ,证券公司,801790.SI,非银金融,matched,801790.SI:证券公司
159530.SZ,机器人ETF易方达,980022.CNI,机器人产业,801890.SI,机械设备,matched,801890.SI:机器人
551900.SH,科创债ETF招商,932160.CSI,AAA科创债,,,non-industry:bond,债
511220.SH,城投债ETF海富通,h11098.SH,沪城投债,,,non-industry:bond,债
159934.SZ,黄金ETF易方达,Au9999.SGE,SGE黄金9999,,,non-industry:commodity,黄金
159740.SZ,恒生科技ETF大成,HSTECH.HI,恒生科技,,,non-industry:overseas,恒生
562500.SH,机器人ETF华夏,h30590.CSI,机器人,801890.SI,机械设备,matched,801890.SI:机器人
512400.SH,有色金属ETF南方,000819.SH,有色金属,801050.SI,有色金属,matched,801050.SI:有色金属
159919.SZ,沪深300ETF嘉实,000300.SH,沪深300,,,non-industry:broad,沪深300
515050.SH,通信ETF华夏,931079.CSI,5G通信,801770.SI,通信,matched,801770.SI:通信
159687.SZ,亚太精选ETF南方,GPCSP006.FI,富时亚太低碳精选指数,,,non-industry:broad,富时
159509.SZ,纳指科技ETF景顺,NDXTMC.GI,纳斯达克科技市值加权,,,non-industry:overseas,纳斯达克
588220.SH,科创100ETF鹏华,000698.SH,科创100,,,non-industry:broad,科创100
159967.SZ,创业板成长ETF华夏,399296.SZ,创成长,,,non-industry:broad,创成长
159110.SZ,科创债ETF万家,921130.CNI,深AAA科创债,,,non-industry:bond,债
159937.SZ,黄金ETF博时,Au9999.SGE,SGE黄金9999,,,non-industry:commodity,黄金
588290.SH,科创芯片ETF华安,000685.SH,科创芯片,801080.SI,电子,matched,801080.SI:芯片
515220.SH,煤炭ETF国泰,399998.SZ,中证煤炭,801950.SI,煤炭,matched,801950.SI:煤炭
551510.SH,科创债ETF华泰柏瑞,932160.CSI,AAA科创债,,,non-industry:bond,债
159611.SZ,电力ETF广发,h30199.CSI,电力指数,801160.SI,公用事业,matched,801160.SI:电力
